WATER_SY_1,WATER_SYST,GLOBALID,BOUNDARY_T,OWNER_TYPE,COUNTY,REGULATING,FEDERAL_CL,STATE_CLAS,SERVICE_CO,POPULATION,pop_est_total,pop_pct_difference,pop_est_asian,pop_est_black_or_african_american,pop_est_hispanic_or_latino,pop_est_native_american_or_alaska_native,pop_est_other_or_multiple,pop_est_pacific_islander,pop_est_white,pct_est_asian,pct_est_black_or_african_american,pct_est_hispanic_or_latino,pct_est_native_american_or_alaska_native,pct_est_other_or_multiple,pct_est_pacific_islander,pct_est_white,med_hh_income_est
"FOLSOM, CITY OF - MAIN",CA3410014,{6E4D1E97-03EB-48F4-9F64-E74E49CC4CC2},Water Service Area,L,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,21424,68122,59990,-11.94,12307,1219,8446,82,3472,180,34284,20.52,2.03,14.08,0.14,5.79,0.3,57.15,140930
RANCHO MURIETA COMMUNITY SERVI,CA3410005,{2C72EE8A-A081-49FB-8EEA-808BF54CDB58},Water Service Area,L,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,2726,5744,3360,-41.5,161,136,568,21,30,0,2445,4.81,4.03,16.92,0.62,0.88,0,72.75,115036
CAL AM FRUITRIDGE VISTA,CA3410023,{501904B9-FD46-4D56-89DE-D87AD8F5FD70},Water Service Area,P,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,4667,15385,22325,45.11,4274,2986,10210,143,1036,404,3272,19.14,13.38,45.74,0.64,4.64,1.81,14.65,46579
B & W RESORT MARINA,CA3400103,{CEC00BE2-7FBA-4B81-BE20-7D326EB6EBF6},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,37,100,0,-100,0,0,0,0,0,0,0,3.77,1.46,28.35,0,2.31,0,64.11,49028
CALAM - SUBURBAN ROSEMONT,CA3410010,{C7B2A772-B03D-4109-86B0-996D6A191F5F},Water Service Area,P,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,16238,53563,58298,8.84,6629,7551,13720,124,4249,475,25550,11.37,12.95,23.53,0.21,7.29,0.81,43.83,75789
SAN JUAN WATER DISTRICT,CA3410021,{5F6CA8E6-CCFE-44C8-978B-6012BDE0AD70},Water Service Area,L,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,10672,29641,29739,0.33,2528,894,3481,198,1302,15,21320,8.5,3.01,11.71,0.67,4.38,0.05,71.69,138811
ELK GROVE WATER SERVICE,CA3410008,{E33EFAB9-03BB-4AA6-B34C-E1B2B887AC40},Water Service Area,P,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,12882,42540,42589,0.12,8610,3808,6825,105,2706,422,20113,20.22,8.94,16.03,0.25,6.35,0.99,47.23,125534
DELTA CROSSING MHP,CA3400150,{178C1128-CAD8-4118-8692-500FC1384637},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,22,30,0,-100,0,0,0,0,0,0,0,0,0,59.49,0,1.78,0,38.74,51250
"GALT, CITY OF",CA3410011,{1EB5C880-698B-463D-916D-27EB4115BE84},Water Service Area,L,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,7471,26536,21643,-18.44,922,455,9936,22,881,16,9412,4.26,2.1,45.91,0.1,4.07,0.07,43.49,92885
LINCOLN CHAN-HOME RANCH,CA3400137,{8E59F56D-9D04-48D4-B6E4-F0584DA465D8},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,19,33,6,-81.82,0,0,3,0,0,0,2,3.93,0,48.22,0,2.81,0,45.04,63076
RIO LINDA/ELVERTA COMMUNITY WATER DIST,CA3410018,{03B163CA-7B3B-4A23-8E31-77AF963C2BF3},Water Service Area,L,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,4621,14381,12137,-15.6,837,211,2650,20,531,24,7864,6.9,1.74,21.83,0.16,4.38,0.2,64.79,75806
SACRAMENTO SUBURBAN WATER DISTRICT,CA3410001,{91C3BEAC-ACF7-4419-A57D-679912168873},Water Service Area,L,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,46573,184385,193283,4.83,20629,17289,43074,414,10821,710,100346,10.67,8.94,22.29,0.21,5.6,0.37,51.92,71795
CALAM - WALNUT GROVE,CA3410047,{B1588BFA-E492-4087-BF44-72049EB4D5B5},Water Service Area,P,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,197,651,17,-97.39,1,0,8,0,0,0,8,3.93,0,48.22,0,2.81,0,45.04,63076
CITY OF SACRAMENTO MAIN,CA3410020,{8DB287D6-CBB3-484C-802F-FFC909F0959F},Water Service Area,S,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,142794,510931,512461,0.3,95263,65994,148221,1354,32986,9244,159399,18.59,12.88,28.92,0.26,6.44,1.8,31.1,74632
